"AnimalName","numberOfAnimals","AnimalType"
"Pepe",6,"Cat"
"Minx",6,"Cat"
"Muffin",6,"Cat"
"Riley",6,"Cat"
"Theo",6,"Cat"
"Sid",6,"Cat"
"Samson",6,"Cat"
"Maximus",6,"Cat"
"Audrey",6,"Cat"
"Bubbles",6,"Cat"
"Sushi",6,"Cat"
"Mischief",6,"Cat"
"Trevor",6,"Cat"
"William",6,"Cat"
"Sheba",6,"Cat"
"Panda",6,"Cat"
"Bindi",6,"Cat"
"Snuggles",6,"Cat"
"Malibu",6,"Cat"
"Albert",6,"Cat"
"Ernie",6,"Cat"
"Queenie",6,"Cat"
"Tabby",6,"Cat"
"Tara",6,"Cat"
"Rocky",6,"Cat"
"Tinka",6,"Cat"
"Tessa",6,"Cat"
"Peaches",6,"Cat"
"Sylvester",6,"Cat"
"Benji",6,"Cat"
"Hector",6,"Cat"
"Olivia",6,"Cat"
"Murphy",6,"Cat"
"Xena",6,"Cat"
"Tink",6,"Cat"
"Marmalade",6,"Cat"
"Casey",6,"Cat"
"Boston",6,"Cat"
"Elvis",6,"Cat"
"Milton",6,"Cat"
"Gidget",6,"Cat"
"Pablo",6,"Cat"
"Tasha",6,"Cat"
"Lexi",6,"Cat"
"Valentino",6,"Cat"
"Nemo",6,"Cat"
"Jewel",6,"Cat"
"Olly",6,"Cat"
"Fletcher",6,"Cat"
"Opal",6,"Cat"
"Sweetie",5,"Cat"
"Sabrina",5,"Cat"
"Inca",5,"Cat"
"Blossom",5,"Cat"
"Kate",5,"Cat"
"Sunshine",5,"Cat"
"Puss Puss",5,"Cat"
"Larry",5,"Cat"
"Jemma",5,"Cat"
"Patrick",5,"Cat"
"Muffy",5,"Cat"
"Pip",5,"Cat"
"Tibby",5,"Cat"
"Mitzy",5,"Cat"
"Smokie",5,"Cat"
"Angie",5,"Cat"
"Rex",5,"Cat"
"Olive",5,"Cat"
"Panther",5,"Cat"
"Kiara",5,"Cat"
"Archer",5,"Cat"
"Dolly",5,"Cat"
"Bubba",5,"Cat"
"Miss Kitty",5,"Cat"
"Ace",5,"Cat"
"Geisha",5,"Cat"
"moe",5,"Cat"
"Magic",5,"Cat"
"Arnold",5,"Cat"
"Hope",5,"Cat"
"Prince",5,"Cat"
"amelia",5,"Cat"
"Tammy",5,"Cat"
"Meg",5,"Cat"
"Tiggy",5,"Cat"
"Caesar",5,"Cat"
"Koko",5,"Cat"
